[gpu_keepalive] starting
cuda available: True
[gpu_keepalive] tick 2026-06-25 10:40:40
[gpu_keepalive] tick 2026-06-25 10:41:00
[gpu_keepalive] tick 2026-06-25 10:41:20
[gpu_keepalive] tick 2026-06-25 10:41:40
[gpu_keepalive] tick 2026-06-25 10:42:00
[gpu_keepalive] tick 2026-06-25 10:42:20
[gpu_keepalive] tick 2026-06-25 10:42:40
[gpu_keepalive] tick 2026-06-25 10:43:00
[gpu_keepalive] tick 2026-06-25 10:43:20
[gpu_keepalive] tick 2026-06-25 10:43:40
[gpu_keepalive] tick 2026-06-25 10:44:00
[gpu_keepalive] tick 2026-06-25 10:44:20
[gpu_keepalive] tick 2026-06-25 10:44:40
[gpu_keepalive] tick 2026-06-25 10:45:01
[gpu_keepalive] tick 2026-06-25 10:45:21
[gpu_keepalive] tick 2026-06-25 10:45:41
[gpu_keepalive] tick 2026-06-25 10:46:01
[gpu_keepalive] tick 2026-06-25 10:46:21
[gpu_keepalive] tick 2026-06-25 10:46:41
[gpu_keepalive] tick 2026-06-25 10:47:01
[gpu_keepalive] tick 2026-06-25 10:47:21
[gpu_keepalive] tick 2026-06-25 10:47:41
[gpu_keepalive] tick 2026-06-25 10:48:01
[gpu_keepalive] tick 2026-06-25 10:48:21
[gpu_keepalive] tick 2026-06-25 10:48:41
[gpu_keepalive] tick 2026-06-25 10:49:01
[gpu_keepalive] tick 2026-06-25 10:49:21
[gpu_keepalive] tick 2026-06-25 10:49:41
